School,Name,Position,Class,Hometown,High School
2023 Football Roster - University of Illinois Athletics,Nicario Harper,DB,Sr.,"Atlanta, Ga.",Carver
2023 Football Roster - University of Illinois Athletics,Josh McCray,RB,So.,"Enterprise, Ala.",Enterprise
2023 Football Roster - University of Illinois Athletics,Demetrius Hill,DB,So.,"Miami, Fla.",Miami Springs
2023 Football Roster - University of Illinois Athletics,Isaiah Williams,WR,Jr.,"St. Louis, Mo.",Trinity Catholic
2023 Football Roster - University of Illinois Athletics,Malik Elzy,WR,Fr.,"Chicago, Ill.",Simeon
2023 Football Roster - University of Illinois Athletics,Saboor Karriem,DB,Fr.,"West Orange, N.J.",West Orange
2023 Football Roster - University of Illinois Athletics,Kaden Feagin,RB,Fr.,"Atwood, Ill.",ALAH
2023 Football Roster - University of Illinois Athletics,Tahveon Nicholson,DB,Jr.,"Jacksonville, Fla.",Riverside
2023 Football Roster - University of Illinois Athletics,Jer'Zhan Newton,DT,Jr.,"St. Petersburg, Fla.",Clearwater Central Catholic
2023 Football Roster - University of Illinois Athletics,John Paddock,QB,Sr.,"Bloomfield Hills, Mich.",Bloomfield Hills
2023 Football Roster - University of Illinois Athletics,Caleb Griffin,K/P,Sr.,"Danville, Ill.",Danville
2023 Football Roster - University of Illinois Athletics,Zachary Tobe,DB,Fr.,"Ocoee, Fla.",Ocoee
2023 Football Roster - University of Illinois Athletics,Denzel Daxon,DL,Sr.,"Nassau, Bahamas",Carol City (Fla.)
2023 Football Roster - University of Illinois Athletics,Ashton Hollins,WR,R-Fr.,"Lucedale, Miss.",George County
2023 Football Roster - University of Illinois Athletics,Matthew Bailey,DB,So.,"Moline, Ill.",Moline
2023 Football Roster - University of Illinois Athletics,Kenari  Wilcher,WR,Fr.,"Clewiston, Fla.",Moore Haven
2023 Football Roster - University of Illinois Athletics,Tarique Barnes,LB,Sr.,"Memphis, Tenn.",Cordova
2023 Football Roster - University of Illinois Athletics,Shawn Miller,WR,R-Fr.,"Chandler, Ariz.",IMG Academy (Fla.)
2023 Football Roster - University of Illinois Athletics,Luke Altmyer,QB,So.,"Starkville, Miss.",Starkville
2023 Football Roster - University of Illinois Athletics,Tyson Rooks,DB,R-Fr.,"St. Simons Island, Ga.",Glynn Academy
2023 Football Roster - University of Illinois Athletics,Donovan Leary,QB,R-Fr.,"Sicklerville, N.J.",Timber Creek
2023 Football Roster - University of Illinois Athletics,Miles Scott,DB,So.,"Dolton, Ill.",St. Thomas More
2023 Football Roster - University of Illinois Athletics,Alex Bray,DL,Fr.,"Chesterfield, Mo.",Marquette
2023 Football Roster - University of Illinois Athletics,Jacob Huber,QB,So.,"Spring Grove, Ill.",Richmond-Burton
2023 Football Roster - University of Illinois Athletics,Elijah Mc-Cantos,DB,R-Fr.,"Miami, Fla.",Edison
2023 Football Roster - University of Illinois Athletics,Kirkland Michaux,QB,So.,"Austin, Texas",Westlake
2023 Football Roster - University of Illinois Athletics,Pat Bryant,WR,Jr.,"Jacksonville, Fla.",Atlantic Coast
2023 Football Roster - University of Illinois Athletics,Calvin Smith,OLB,Fr.,"Ocoee, Fla.",Ocoee
2023 Football Roster - University of Illinois Athletics,Xavier Scott,DB,So.,"Riviera Beach, Fla.",Dwyer
2023 Football Roster - University of Illinois Athletics,Casey Washington,WR,Sr.,"Round Rock, Texas",Pflugerville
2023 Football Roster - University of Illinois Athletics,Jared Badie,OLB,R-Fr.,"Aurora, Ill.",Oswego East
2023 Football Roster - University of Illinois Athletics,Alexander Capka-Jones,WR,Jr.,"Oak Park, Calif.",Oak Park
2023 Football Roster - University of Illinois Athletics,Prince Ford,DB,Jr.,"Concord, N.C.",Cox Mill
2023 Football Roster - University of Illinois Athletics,Cal Swanson,QB,Fr.,"Ardmore, Okla.",Ardmore
2023 Football Roster - University of Illinois Athletics,Collin Dixon,WR,Fr.,"Tallmadge, Ohio",Tallmadge
2023 Football Roster - University of Illinois Athletics,Gabe Jacas,OLB,So.,"Port St. Lucie, Fla.",Fort Pierce Central
2023 Football Roster - University of Illinois Athletics,Chase Miller,WR,R-Fr.,"Baltimore, Md.",IMG Academy (Fla.)
2023 Football Roster - University of Illinois Athletics,Mason Muragin,DL,Fr.,"Macomb, Mich.",De La Salle
2023 Football Roster - University of Illinois Athletics,Eian Pugh,WR,R-Fr.,"Naperville, Ill.",Fenwick
2023 Football Roster - University of Illinois Athletics,Hugh Robertson,P,So.,"Melbourne, Australia",Assumption College Kilmore
2023 Football Roster - University of Illinois Athletics,Tyler Strain,DB,So.,"Pace, Fla.",Pace
2023 Football Roster - University of Illinois Athletics,Clayton Bush,DB,Sr.,"Bowling Green, Ky.",South Warren
2023 Football Roster - University of Illinois Athletics,Aidan Laughery,RB,R-Fr.,"Gibson City, Ill.",GCMS
2023 Football Roster - University of Illinois Athletics,Jean-Marc Etienne,RB,Jr.,"Lincolnshire, Ill.",Stevenson
